03-22-2022	mo	VERSION: 2020_01_31

Temperatursteuerung:	automatisch (ILX-TEC) (AD590: 0.0,1.0,0.855)
Anfangstemperatur /°C:	30.1
Delta-Temperatur /°C:	5.0
Endtemperatur /°C:	30.1
Anzahl der Temperaturen:	1
aktuelle Temperatur-Nr:	1
aktuelle Temperatur /°C:	30.1

Stromquelle:	LDD5060	U_Messung
Startstrom /mA:	190.0
d-Strom /mA:	10.0
Maximalstrom /mA:	700.0
Anzahl der Ströme:	52
aktuelle Strom-Nr:
aktueller Strom /mA:
Art:	CW	keinePolarisation



Einstellspannung (E3631A_P6V): 0.0 ( 0.25) 3.0 V ; 0.75 V


Messfassungsnr.:	C030652








Messgeraet:	Q8384 (ADVANTEST)
Messgeraet:	FSUP/FSW





















Projektnummer:	9618
Projektverantwortlicher:	Wohlfeil
Lasertyp:	TPL
Wafer:	R1268-4
TF/Riegel/Chip:	070709
Prozess:	Z1-9581-TRA
Beschichtung:	Z1-9648-FAC
AVT-Losdokument:	Z2-2654-LCM

Laenge /µm:	6000
Breite /µm:	400
Lambda /nm:	820
Aufbauart:	p-up
Traegerart:	Chip
Traeger-Nr.:	C030652
Diodenname:	070709
Absorber /mA:	








Kommentar:	

Current (mA)	Wavelength (nm)	Intensity	C_absorber (A)	Temperature (deg.C)
190.0	818.4	-55.116	0.086231	30.0
190.0	818.45	-55.963	0.086231	30.0
190.0	818.5	-56.479	0.086231	30.0
190.0	818.55	-55.867	0.086231	30.0
190.0	818.6	-55.721	0.086231	30.0
190.0	818.65	-56.929	0.086231	30.0
190.0	818.7	-57.306	0.086231	30.0
190.0	818.75	-55.432	0.086231	30.0
190.0	818.8	-55.649	0.086231	30.0
190.0	818.85	-56.572	0.086231	30.0
190.0	818.9	-56.072	0.086231	30.0
190.0	818.95	-54.716	0.086231	30.0
190.0	819.0	-57.311	0.086231	30.0
190.0	819.05	-56.184	0.086231	30.0
190.0	819.1	-55.265	0.086231	30.0
190.0	819.15	-57.046	0.086231	30.0
190.0	819.2	-55.573	0.086231	30.0
190.0	819.25	-56.414	0.086231	30.0
190.0	819.3	-55.549	0.086231	30.0
190.0	819.35	-56.185	0.086231	30.0
190.0	819.4	-55.895	0.086231	30.0
190.0	819.45	-54.323	0.086231	30.0
190.0	819.5	-55.275	0.086231	30.0
190.0	819.55	-56.467	0.086231	30.0
190.0	819.6	-57.853	0.086231	30.0
190.0	819.65	-54.661	0.086231	30.0
190.0	819.7	-55.089	0.086231	30.0
190.0	819.75	-57.043	0.086231	30.0
190.0	819.8	-55.158	0.086231	30.0
190.0	819.85	-55.023	0.086231	30.0
190.0	819.9	-55.169	0.086231	30.0
190.0	819.95	-56.05	0.086231	30.0
190.0	820.0	-55.542	0.086231	30.0
190.0	820.05	-55.187	0.086231	30.0
190.0	820.1	-55.944	0.086231	30.0
190.0	820.15	-55.982	0.086231	30.0
190.0	820.2	-55.323	0.086231	30.0
190.0	820.25	-56.125	0.086231	30.0
190.0	820.3	-55.547	0.086231	30.0
190.0	820.35	-54.163	0.086231	30.0
190.0	820.4	-55.356	0.086231	30.0
190.0	820.45	-56.001	0.086231	30.0
190.0	820.5	-54.123	0.086231	30.0
190.0	820.55	-56.709	0.086231	30.0
190.0	820.6	-56.929	0.086231	30.0
190.0	820.65	-55.526	0.086231	30.0
190.0	820.7	-55.36	0.086231	30.0
190.0	820.75	-54.828	0.086231	30.0
190.0	820.8	-54.75	0.086231	30.0
190.0	820.85	-55.58	0.086231	30.0
190.0	820.9	-54.909	0.086231	30.0
190.0	820.95	-54.292	0.086231	30.0
190.0	821.0	-55.614	0.086231	30.0
190.0	821.05	-55.193	0.086231	30.0
190.0	821.1	-54.574	0.086231	30.0
190.0	821.15	-53.886	0.086231	30.0
190.0	821.2	-54.982	0.086231	30.0
190.0	821.25	-54.76	0.086231	30.0
190.0	821.3	-54.419	0.086231	30.0
190.0	821.35	-54.906	0.086231	30.0
190.0	821.4	-54.225	0.086231	30.0
190.0	821.45	-53.923	0.086231	30.0
190.0	821.5	-55.045	0.086231	30.0
190.0	821.55	-53.966	0.086231	30.0
190.0	821.6	-54.457	0.086231	30.0
190.0	821.65	-54.673	0.086231	30.0
190.0	821.7	-54.121	0.086231	30.0
190.0	821.75	-53.847	0.086231	30.0
190.0	821.8	-54.653	0.086231	30.0
190.0	821.85	-54.967	0.086231	30.0
190.0	821.9	-53.868	0.086231	30.0
190.0	821.95	-53.226	0.086231	30.0
190.0	822.0	-53.91	0.086231	30.0
190.0	822.05	-53.812	0.086231	30.0
190.0	822.1	-54.418	0.086231	30.0
190.0	822.15	-53.453	0.086231	30.0
190.0	822.2	-54.097	0.086231	30.0
190.0	822.25	-53.86	0.086231	30.0
190.0	822.3	-53.622	0.086231	30.0
190.0	822.35	-55.169	0.086231	30.0
190.0	822.4	-53.277	0.086231	30.0
190.0	822.45	-54.381	0.086231	30.0
190.0	822.5	-53.883	0.086231	30.0
190.0	822.55	-53.726	0.086231	30.0
190.0	822.6	-54.043	0.086231	30.0
190.0	822.65	-53.197	0.086231	30.0
190.0	822.7	-54.167	0.086231	30.0
190.0	822.75	-54.021	0.086231	30.0
190.0	822.8	-53.344	0.086231	30.0
190.0	822.85	-53.172	0.086231	30.0
190.0	822.9	-53.103	0.086231	30.0
190.0	822.95	-53.49	0.086231	30.0
190.0	823.0	-53.702	0.086231	30.0
190.0	823.05	-53.355	0.086231	30.0
190.0	823.1	-53.988	0.086231	30.0
190.0	823.15	-53.66	0.086231	30.0
190.0	823.2	-53.486	0.086231	30.0
190.0	823.25	-53.717	0.086231	30.0
190.0	823.3	-53.725	0.086231	30.0
190.0	823.35	-53.088	0.086231	30.0
190.0	823.4	-54.232	0.086231	30.0
190.0	823.45	-53.052	0.086231	30.0
190.0	823.5	-53.92	0.086231	30.0
190.0	823.55	-53.173	0.086231	30.0
190.0	823.6	-55.085	0.086231	30.0
190.0	823.65	-52.72	0.086231	30.0
190.0	823.7	-54.065	0.086231	30.0
190.0	823.75	-53.72	0.086231	30.0
190.0	823.8	-52.939	0.086231	30.0
190.0	823.85	-53.348	0.086231	30.0
190.0	823.9	-53.045	0.086231	30.0
190.0	823.95	-53.666	0.086231	30.0
190.0	824.0	-53.243	0.086231	30.0
190.0	824.05	-52.848	0.086231	30.0
190.0	824.1	-52.944	0.086231	30.0
190.0	824.15	-52.875	0.086231	30.0
190.0	824.2	-52.684	0.086231	30.0
190.0	824.25	-53.17	0.086231	30.0
190.0	824.3	-53.472	0.086231	30.0
190.0	824.35	-52.28	0.086231	30.0
190.0	824.4	-53.231	0.086231	30.0
190.0	824.45	-53.759	0.086231	30.0
190.0	824.5	-53.021	0.086231	30.0
190.0	824.55	-52.767	0.086231	30.0
190.0	824.6	-53.518	0.086231	30.0
190.0	824.65	-53.417	0.086231	30.0
190.0	824.7	-52.62	0.086231	30.0
190.0	824.75	-53.235	0.086231	30.0
190.0	824.8	-52.252	0.086231	30.0
190.0	824.85	-53.14	0.086231	30.0
190.0	824.9	-52.835	0.086231	30.0
190.0	824.95	-52.439	0.086231	30.0
190.0	825.0	-52.005	0.086231	30.0
190.0	825.05	-52.673	0.086231	30.0
190.0	825.1	-52.69	0.086231	30.0
190.0	825.15	-52.666	0.086231	30.0
190.0	825.2	-52.043	0.086231	30.0
190.0	825.25	-51.827	0.086231	30.0
190.0	825.3	-52.276	0.086231	30.0
190.0	825.35	-52.593	0.086231	30.0
190.0	825.4	-52.885	0.086231	30.0
190.0	825.45	-52.198	0.086231	30.0
190.0	825.5	-52.549	0.086231	30.0
190.0	825.55	-52.183	0.086231	30.0
190.0	825.6	-52.493	0.086231	30.0
190.0	825.65	-52.442	0.086231	30.0
190.0	825.7	-51.698	0.086231	30.0
190.0	825.75	-52.329	0.086231	30.0
190.0	825.8	-52.465	0.086231	30.0
190.0	825.85	-52.564	0.086231	30.0
190.0	825.9	-51.772	0.086231	30.0
190.0	825.95	-52.309	0.086231	30.0
190.0	826.0	-52.355	0.086231	30.0
190.0	826.05	-52.173	0.086231	30.0
190.0	826.1	-51.804	0.086231	30.0
190.0	826.15	-52.518	0.086231	30.0
190.0	826.2	-51.914	0.086231	30.0
190.0	826.25	-51.89	0.086231	30.0
190.0	826.3	-52.931	0.086231	30.0
190.0	826.35	-52.766	0.086231	30.0
190.0	826.4	-52.262	0.086231	30.0
190.0	826.45	-52.493	0.086231	30.0
190.0	826.5	-52.425	0.086231	30.0
190.0	826.55	-52.459	0.086231	30.0
190.0	826.6	-53.091	0.086231	30.0
190.0	826.65	-51.914	0.086231	30.0
190.0	826.7	-52.69	0.086231	30.0
190.0	826.75	-52.635	0.086231	30.0
190.0	826.8	-52.317	0.086231	30.0
190.0	826.85	-52.701	0.086231	30.0
190.0	826.9	-52.569	0.086231	30.0
190.0	826.95	-53.113	0.086231	30.0
190.0	827.0	-52.251	0.086231	30.0
190.0	827.05	-52.612	0.086231	30.0
190.0	827.1	-52.966	0.086231	30.0
190.0	827.15	-52.399	0.086231	30.0
190.0	827.2	-52.367	0.086231	30.0
190.0	827.25	-52.94	0.086231	30.0
